epoch,variable,group,weight
0,0,0,-2.1543473513383136
0,0,1,2.6097053409970243
0,1,0,-3.2678722088427854
0,1,1,2.1228544988398292
0,2,0,2.30527739009442
0,2,1,-2.1226433716783135
0,3,0,4.941896896037597
0,3,1,2.3194433251149826
0,4,0,2.734631889474373
0,4,1,2.9284494901817113
0,5,0,-2.8458495852824006
0,5,1,2.2060521456941817
0,6,0,2.1795039788406836
0,6,1,2.412468183101884
0,7,0,-2.2313369723525334
0,7,1,-2.9437295779502994
0,8,0,-2.8129150879054996
0,8,1,-2.767616249845411
0,9,0,-2.5115437273485925
0,9,1,2.8712090886360673
0,10,0,-5.908743486340007
0,10,1,3.451985666772236
0,11,0,2.3270501907364536
0,11,1,-2.7304191025440026
0,12,0,3.039950733509443
0,12,1,-2.1212605705803025
0,13,0,2.142994830544716
0,13,1,-2.1236754675835416
0,14,0,2.9189783954682973
0,14,1,3.261385471111056
0,15,0,-2.136552777803253
0,15,1,-2.5901437517105004
0,16,0,-8.431074233800265
0,16,1,-2.43940219373067
0,17,0,-2.590949931264694
0,17,1,-2.744117194974132
0,18,0,-2.67705854963597
0,18,1,-2.33672848687205
0,19,0,3.923156901770144
0,19,1,-2.3518210986961274
0,20,0,-2.74924975428
0,20,1,-2.8168076961655015
0,21,0,-5.529233901349862
0,21,1,2.4601036961889093
0,22,0,2.557190793013635
0,22,1,-2.2509569138359256
0,23,0,5.3540084470615135
0,23,1,-2.8245849835901042
0,24,0,2.4987252706867653
0,24,1,2.5255423263710814
0,25,0,2.4191941539036805
0,25,1,-2.7338135751114616
0,26,0,-2.568222062185549
0,26,1,3.9598287843663758
0,27,0,4.136236822166943
0,27,1,-3.8199799927442277
0,28,0,2.1049037928481007
0,28,1,2.358077410026801
0,29,0,3.7038569641811203
0,29,1,2.1194301859158626
0,30,0,2.766629242281277
0,30,1,-2.256602231002099
0,31,0,-5.048569512647301
0,31,1,4.141235340639305
0,32,0,-4.933440367369537
0,32,1,3.0708121268219153
0,33,0,-3.7983357777164795
0,33,1,3.1597238097813816
0,34,0,-2.181049207367637
0,34,1,3.5228822274883282
0,35,0,2.2019581870614116
0,35,1,6.73260870941161
0,36,0,-3.268522556951631
0,36,1,3.274721016604098
0,37,0,2.1350936540337764
0,37,1,3.0543525934252846
0,38,0,2.680125168253929
0,38,1,3.2738863428371188
0,39,0,4.208126837424061
0,39,1,-2.2898111851497593
0,40,0,3.1444722637533284
0,40,1,4.3718850803072655
0,41,0,3.8216289862624966
0,41,1,-3.7930084454263353
0,42,0,-2.2905984412094913
0,42,1,-3.3098472662013045
0,43,0,-2.1148197350872224
0,43,1,2.113930976143562
0,44,0,-2.9928479068491876
0,44,1,-2.725766356279993
0,45,0,-2.2846343525518047
0,45,1,-4.280628533487495
0,46,0,3.0872489007571553
0,46,1,-2.2005168293869777
0,47,0,2.209016144241008
0,47,1,2.5832125266098944
0,48,0,-3.3891416785195587
0,48,1,2.374511054151979
0,49,0,-3.042477126153015
0,49,1,2.7888292356935733
0,50,0,-2.2067275862102953
0,50,1,3.229241642626024
0,51,0,-2.3533697722825107
0,51,1,2.379286616401907
0,52,0,3.2350370604455363
0,52,1,-2.653036808584441
0,53,0,2.688025012917479
0,53,1,-2.2943683785037683
0,54,0,3.963504182677924
0,54,1,2.2392707052047607
0,55,0,-3.884472430666048
0,55,1,-2.9442180193593526
0,56,0,-2.934850094670441
0,56,1,-3.096849140666131
0,57,0,3.8536157557775033
0,57,1,4.082798243380541
0,58,0,3.7010321644550115
0,58,1,-2.1167133952065913
0,59,0,-3.164979562763283
0,59,1,2.14129722786855
0,60,0,-2.5805239867122176
0,60,1,-2.4585743006999703
0,61,0,-2.1533622535739707
0,61,1,-3.293644746643262
0,62,0,-4.692125521280842
0,62,1,2.3683371855234765
0,63,0,3.293782754727142
0,63,1,-2.7047653735148036
0,64,0,2.225726545641233
0,64,1,-2.247811489384199
0,65,0,2.6891975909080195
0,65,1,2.3454064527028287
0,66,0,-2.301149785711898
0,66,1,-2.9255389700724113
0,67,0,2.2777944370232004
0,67,1,-5.408362464434939
0,68,0,-3.4244847706358756
0,68,1,-3.9127914778387316
0,69,0,-2.3392391056324815
0,69,1,-3.619701894822776
0,70,0,3.0591832438943567
0,70,1,4.9690210803053265
0,71,0,-3.9586715032256503
0,71,1,4.1157114420598955
0,72,0,2.3795492246357823
0,72,1,-2.0955412758266454
0,73,0,-2.2144067211067946
0,73,1,4.849761425877177
0,74,0,2.7230896163355016
0,74,1,5.681072380724695
0,75,0,-2.3779094551353097
0,75,1,-2.447762254384975
0,76,0,4.805957833015792
0,76,1,-4.270295480767126
0,77,0,2.18070307385263
0,77,1,2.5073860269513215
0,78,0,-3.1507979529857555
0,78,1,2.3328975744398037
0,79,0,-3.417630393220511
0,79,1,-5.201560202277313
0,80,0,-4.217463538651399
0,80,1,-2.6336705362675215
0,81,0,2.4226807451684707
0,81,1,-3.08915159352376
0,82,0,2.1798152981667225
0,82,1,-4.101087804672367
0,83,0,-2.264724728461297
0,83,1,5.757559214992195
0,84,0,3.3652899377403167
0,84,1,-3.6091105663990084
0,85,0,-3.0062868226155497
0,85,1,2.2353055835423783
0,86,0,-2.0958013453671804
0,86,1,-2.562599027134838
0,87,0,2.1001429649726218
0,87,1,2.531172696739435
0,88,0,-2.1610939557068067
0,88,1,-2.714289279010028
0,89,0,2.1940705104656777
0,89,1,-2.56675676470594
0,90,0,-4.593640015145881
0,90,1,-6.5446546295754935
0,91,0,2.090788657830023
0,91,1,-5.823371740102396
0,92,0,-2.3763270702062
0,92,1,3.776692216878752
0,93,0,2.7744037204610077
0,93,1,2.683146386493191
0,94,0,-2.1052122396515145
0,94,1,-2.1565153873921203
0,95,0,4.181607609496424
0,95,1,-3.722223706614062
0,96,0,4.380867459993841
0,96,1,2.5622670609849942
0,97,0,-2.449719013509354
0,97,1,2.232864822688247
0,98,0,-2.8489317326364625
0,98,1,2.5137077054991375
0,99,0,2.6088434224962556
0,99,1,5.120781504209939
0,100,0,-3.118024590706726
0,100,1,-2.461769351411955
0,101,0,-2.0967159726009568
0,101,1,-3.6672839594146955
0,102,0,-2.6264300084263748
0,102,1,-2.922934733291572
0,103,0,2.693768050950143
0,103,1,2.787469763184171
0,104,0,-3.8229696857103055
0,104,1,-2.549640025571348
0,105,0,-3.1149476879654134
0,105,1,3.520365665335609
0,106,0,2.357745582356494
0,106,1,2.0982474158194244
0,107,0,2.534105886807378
0,107,1,7.275693688880414
0,108,0,-2.6515859727465325
0,108,1,2.911908061000232
0,109,0,2.8760346104463554
0,109,1,2.2327920712016307
0,110,0,-2.39575666671523
0,110,1,-2.363032941196808
0,111,0,-2.464132139809522
0,111,1,-2.62290438553163
0,112,0,3.48341806059341
0,112,1,6.302999594491293
0,113,0,2.925551958302678
0,113,1,2.3088324928403257
0,114,0,-2.516779333449579
0,114,1,2.107428281090395
0,115,0,-2.3630350782066
0,115,1,-2.449885530269598
0,116,0,4.4380599235193054
0,116,1,2.6496921478028255
0,117,0,-2.132749883168569
0,117,1,-2.122730506024531
0,118,0,3.8059294853798606
0,118,1,-3.130633825287828
0,119,0,-3.9993275772940113
0,119,1,-2.1386810172401787
0,120,0,-2.36981317199125
0,120,1,3.5218686261647894
0,121,0,-3.286914747833735
0,121,1,-3.4570590986821177
0,122,0,2.5224642202675436
0,122,1,2.80178655238526
0,123,0,-3.7595800947541784
0,123,1,3.4844034902456382
0,124,0,2.4558054022327704
0,124,1,-2.9401229020787607
0,125,0,-3.7496960436629165
0,125,1,2.786685589837997
0,126,0,-2.3263131400634647
0,126,1,-2.821239141163431
0,127,0,2.2284941998456347
0,127,1,-3.7921834507020904
0,128,0,-2.8174146145739254
0,128,1,-2.8466895326918302
0,129,0,2.4905321643106366
0,129,1,3.6290161400986305
0,130,0,-2.5170755760678936
0,130,1,2.536060115181265
0,131,0,-2.990972105425602
0,131,1,-5.47226508109507
0,132,0,-2.4060854827159415
0,132,1,6.827935949760848
0,133,0,3.8578780980109557
0,133,1,3.5106452682150495
0,134,0,-2.153322977655052
0,134,1,4.036803873805081
0,135,0,-3.0244535976143108
0,135,1,-2.48056747178115
0,136,0,-2.422886514412812
0,136,1,-3.4642647507488147
0,137,0,2.339753121703689
0,137,1,3.129616179083394
0,138,0,-3.454776588550672
0,138,1,2.4636454636218046
0,139,0,-7.563066028792662
0,139,1,-2.1838585901426977
0,140,0,2.6142366130423538
0,140,1,-4.369426785240979
0,141,0,5.01062164938231
0,141,1,3.2398456350712186
0,142,0,5.970688760086192
0,142,1,4.66656212681808
0,143,0,2.835161111584205
0,143,1,-5.844332777012176
0,144,0,-2.2051112417897705
0,144,1,-3.4539785386682116
0,145,0,3.6271343740125914
0,145,1,2.196729288556329
0,146,0,3.0815101673802894
0,146,1,2.248737684871433
0,147,0,2.283985161303928
0,147,1,-2.311073312472772
0,148,0,-2.4647702816602797
0,148,1,2.284949809413536
0,149,0,2.640059562243893
0,149,1,2.233845225556455
0,150,0,2.2696728641430886
0,150,1,2.146604901075884
0,151,0,2.859659575596373
0,151,1,3.736138538107098
0,152,0,-2.4077106548777527
0,152,1,-4.327858048294442
0,153,0,2.3134452413171953
0,153,1,2.120785173134338
0,154,0,2.355802656797706
0,154,1,2.429284508201122
0,155,0,-2.554681079592335
0,155,1,3.28982482483764
0,156,0,-4.190863089827494
0,156,1,-4.614779234185344
0,157,0,2.2662350866317262
0,157,1,-5.5808257736568505
0,158,0,2.558985892915624
0,158,1,2.241333458632563
0,159,0,2.1507365401045524
0,159,1,-13.187312493361942
0,160,0,-2.458196778354757
0,160,1,-2.297610648577436
0,161,0,-3.894599137292211
0,161,1,-3.0759681288625114
0,162,0,-2.5895413052951888
0,162,1,2.3351142937032745
0,163,0,-2.777514282205569
0,163,1,3.570816077507729
0,164,0,-3.5734850043707405
0,164,1,5.445750976759653
0,165,0,2.8240627416917365
0,165,1,2.273469588879143
0,166,0,-4.2014402928635235
0,166,1,-2.153792335955497
0,167,0,-3.601513676076353
0,167,1,2.61436961043282
0,168,0,2.3646629060350373
0,168,1,-2.4597149597735473
0,169,0,5.579131437285679
0,169,1,-2.782898332170246
0,170,0,4.31987768901275
0,170,1,-2.6175471625955424
0,171,0,-2.3407348075673355
0,171,1,2.807703581905323
0,172,0,-2.7517547840413226
0,172,1,-4.495431151885136
0,173,0,-2.6183226204218153
0,173,1,-2.6799050047539317
0,174,0,3.3596000525490024
0,174,1,2.6700149911632893
0,175,0,2.452211893201156
0,175,1,-3.91622858462958
0,176,0,4.511550011350435
0,176,1,-2.2521193453649424
0,177,0,2.7006988149999986
0,177,1,3.26773665470342
0,178,0,2.462361754383534
0,178,1,-2.385718594043069
0,179,0,-2.803418623791145
0,179,1,2.281319297128739
0,180,0,-2.1691115874682514
0,180,1,-4.7523011070389165
0,181,0,-2.2597631941749174
0,181,1,-2.5517180690803407
0,182,0,-2.457413630336571
0,182,1,2.3322771555131485
0,183,0,3.933026293448547
0,183,1,2.938340751596235
0,184,0,2.5433622916637697
0,184,1,2.8126537362643163
0,185,0,3.021584563176993
0,185,1,-3.2045951437025275
0,186,0,3.5701897396399023
0,186,1,-3.4613961016540875
0,187,0,6.098269284269144
0,187,1,-3.425991759460225
0,188,0,2.5985901887356713
0,188,1,-5.067131215162298
0,189,0,-3.4147590399258156
0,189,1,2.4275951332705445
0,190,0,2.351670604536179
0,190,1,-2.6740632023683664
0,191,0,2.2549260299712075
0,191,1,-3.1764583549670653
0,192,0,3.3961098490177606
0,192,1,-3.2519084735870987
0,193,0,4.2794408134951425
0,193,1,-2.5840080019261142
0,194,0,-4.4979117737267575
0,194,1,5.420925096480774
0,195,0,-2.1813369185329536
0,195,1,-3.5023606393958886
0,196,0,-2.3063903915373682
0,196,1,-2.5051834812694795
0,197,0,-3.461531302195332
0,197,1,3.5535709215916333
0,198,0,-3.5106374754368685
0,198,1,-3.9781009677015575
0,199,0,2.923977375710463
0,199,1,4.737081959619066
0,200,0,-3.821889373967646
0,200,1,7.907087188194681
0,201,0,-2.735565514181108
0,201,1,-3.771320543797641
0,202,0,-3.731043833095361
0,202,1,-2.9050180024252517
0,203,0,2.352546496063054
0,203,1,-5.290833138452047
0,204,0,-3.2656161493448144
0,204,1,-2.592097868289733
0,205,0,2.263285486462502
0,205,1,-2.7837579536571786
0,206,0,-2.3448644182786142
0,206,1,-2.1674034032513263
0,207,0,3.2778247364893702
0,207,1,-2.209600372762099
0,208,0,-2.1079282777746533
0,208,1,-4.108536054964832
0,209,0,3.3130628403719395
0,209,1,-2.4331468150130484
0,210,0,3.4397393746499176
0,210,1,-2.1962937402789358
0,211,0,5.326011749801333
0,211,1,2.1557632579994244
0,212,0,2.1638009970133356
0,212,1,2.2472833246905957
0,213,0,-2.950745897886076
0,213,1,-2.7959396540739228
0,214,0,-3.910666080505271
0,214,1,2.6984837984425383
0,215,0,-2.3756384037923857
0,215,1,-4.163696818228661
0,216,0,2.6677643152283395
0,216,1,-4.302141148902145
0,217,0,-2.5763967097130047
0,217,1,2.250157681282923
0,218,0,-2.5525096302651793
0,218,1,-2.4734644928878167
0,219,0,-3.685830917303875
0,219,1,2.8388794056710362
0,220,0,-2.849911621880031
0,220,1,-2.3654425080698602
0,221,0,-5.150525170192123
0,221,1,-2.1995922071435805
0,222,0,2.9800627482326845
0,222,1,-4.647643391658596
0,223,0,-2.2880054441239457
0,223,1,3.571182345555996
0,224,0,-2.5116355520739884
0,224,1,-2.7599927427506614
0,225,0,-3.3954096984384505
0,225,1,-2.5478468509887637
0,226,0,2.218561521635089
0,226,1,-3.8016708644598327
0,227,0,-3.4877524591699784
0,227,1,2.8931839066152683
0,228,0,-3.1382702776538474
0,228,1,3.8069010429717474
0,229,0,2.561032044499746
0,229,1,-2.4308489182496182
0,230,0,5.7692104541260525
0,230,1,-2.7801416043305904
0,231,0,2.13237670379259
0,231,1,-2.4073372898967387
0,232,0,-4.433459316394494
0,232,1,6.143778088003165
0,233,0,2.1826865700217746
0,233,1,-2.537122591570269
0,234,0,7.05052358557769
0,234,1,2.397197709674562
0,235,0,4.12883046458251
0,235,1,-4.737422489428921
0,236,0,-2.4235185385733233
0,236,1,2.479840088094868
0,237,0,-4.0301281433688825
0,237,1,-3.0794757850946417
0,238,0,2.950983615086862
0,238,1,-3.4319058395165816
0,239,0,-2.513747274633599
0,239,1,2.149280173200168
0,240,0,-3.6152805191478645
0,240,1,-2.213182355863568
0,241,0,-2.953300128687538
0,241,1,2.8456553384322643
0,242,0,-2.7430949941844074
0,242,1,-3.834011647823444
0,243,0,2.168562719625541
0,243,1,-2.8262286231621956
0,244,0,-2.6406879065450095
0,244,1,3.980267409393173
0,245,0,3.445042192844271
0,245,1,-2.7209332879274384
0,246,0,-2.1710462688728707
0,246,1,3.5840262653988013
0,247,0,3.2939524053035774
0,247,1,3.8812112101603264
0,248,0,4.958248288415909
0,248,1,-2.134512754023114
0,249,0,-3.453570860916219
0,249,1,-3.4033095630184964
0,250,0,6.391821149280584
0,250,1,2.1208184081902686
0,251,0,-2.0964995603472008
0,251,1,3.108807623529089
0,252,0,2.411194409429059
0,252,1,2.2840697064078035
0,253,0,2.465823734027574
0,253,1,-2.602313066195208
0,254,0,4.150324938407811
0,254,1,-2.8428024201658704
0,255,0,3.276093210039272
0,255,1,2.557506176304751
0,256,0,-2.9948973227305813
0,256,1,2.2461135414574507
0,257,0,2.2353509319282256
0,257,1,-4.2942540335801525
0,258,0,-2.4771691334282044
0,258,1,-2.224974105036123
0,259,0,2.7217194855902935
0,259,1,-2.570179138079885
0,260,0,-2.4498726671780853
0,260,1,2.423096444351777
0,261,0,-3.3232709647088834
0,261,1,2.189268816706019
0,262,0,-3.3867363251036617
0,262,1,-3.4941915465877704
0,263,0,2.332552576770088
0,263,1,2.457998496909351
0,264,0,2.8289866526715746
0,264,1,3.5968608033097373
0,265,0,2.387083452690785
0,265,1,4.5993752063212225
0,266,0,2.448934194369183
0,266,1,3.088461508280786
0,267,0,2.315218172733935
0,267,1,-2.4995201427385787
0,268,0,-2.6715443366606597
0,268,1,-3.6573652311718647
0,269,0,3.1746334921881636
0,269,1,-2.663702128130174
0,270,0,2.124805985962043
0,270,1,-2.192614504096409
0,271,0,7.6391113408566
0,271,1,2.646396358235443
0,272,0,2.884639499748471
0,272,1,-2.154489719197443
0,273,0,-2.3818455573184476
0,273,1,2.1910116633116417
0,274,0,3.0446981415742074
0,274,1,2.545153227969288
0,275,0,-2.0991160772617445
0,275,1,-3.0189182402595183
0,276,0,4.126198162522585
0,276,1,3.3423990719740377
0,277,0,2.3633200537516896
0,277,1,2.5520828858356714
0,278,0,2.3471089445624815
0,278,1,-2.8470380763635186
0,279,0,-2.2595020390806755
0,279,1,-3.955203492559363
0,280,0,-3.8839112216934613
0,280,1,2.483126057105684
0,281,0,-4.157065126249837
0,281,1,3.2408291325475465
0,282,0,2.6002614407889015
0,282,1,-7.536914577814006
0,283,0,4.0334425087534935
0,283,1,3.4291918444422165
0,284,0,4.072119215483007
0,284,1,4.494689781460506
0,285,0,-2.2384449769430836
0,285,1,3.4639457903855067
0,286,0,2.3238271141467997
0,286,1,-3.497735910490394
0,287,0,3.018763076471249
0,287,1,-2.425590567568701
0,288,0,-5.186099187066816
0,288,1,2.309086982667579
0,289,0,-2.804024725800058
0,289,1,2.44431637728839
0,290,0,-3.08751877743087
0,290,1,-2.70706492268141
0,291,0,3.763798368991845
0,291,1,2.613373221699818
0,292,0,3.116795636598861
0,292,1,3.084796649377548
0,293,0,2.564994456842853
0,293,1,-2.0981562549857484
0,294,0,3.7483510873896315
0,294,1,2.898110487192081
0,295,0,2.196208395046701
