epoch,kernel,input,filter,weight
0,0,0,0,-0.019668133929371834
0,0,0,1,0.03528755530714989
0,0,0,2,0.18575365841388702
0,0,0,3,-0.18431396782398224
0,0,0,4,-0.06287746876478195
0,0,1,0,-0.08469630777835846
0,0,1,1,0.19461390376091003
0,0,1,2,0.1802918016910553
0,0,1,3,-0.21757836639881134
0,0,1,4,0.10813409835100174
0,0,2,0,0.18931421637535095
0,0,2,1,0.16377879679203033
0,0,2,2,-0.15052001178264618
0,0,2,3,0.151966854929924
0,0,2,4,-0.06357485055923462
0,0,3,0,0.21807052195072174
0,0,3,1,-0.21786805987358093
0,0,3,2,-0.08073361963033676
0,0,3,3,0.04228826239705086
0,0,3,4,-0.1998887062072754
0,0,4,0,-0.2017844319343567
0,0,4,1,0.16388870775699615
0,0,4,2,-0.08896265178918839
0,0,4,3,-0.06451274454593658
0,0,4,4,-0.028083566576242447
0,1,0,0,-0.1474417895078659
0,1,0,1,0.1251983493566513
0,1,0,2,-0.028240390121936798
0,1,0,3,-0.029811060056090355
0,1,0,4,-0.2204708456993103
0,1,1,0,0.19592149555683136
0,1,1,1,-0.22215141355991364
0,1,1,2,0.06286734342575073
0,1,1,3,-0.1340637356042862
0,1,1,4,0.03037942945957184
0,1,2,0,0.0012535881251096725
0,1,2,1,0.09443990141153336
0,1,2,2,-0.011618195101618767
0,1,2,3,-0.20034703612327576
0,1,2,4,0.20283915102481842
0,1,3,0,0.012202946469187737
0,1,3,1,0.09286848455667496
0,1,3,2,0.18454495072364807
0,1,3,3,0.18755105137825012
0,1,3,4,-0.023873304948210716
0,1,4,0,-0.01673736236989498
0,1,4,1,0.046932972967624664
0,1,4,2,-0.034799713641405106
0,1,4,3,0.16734229028224945
0,1,4,4,-0.20014238357543945
0,2,0,0,0.20030173659324646
0,2,0,1,-0.0926816537976265
0,2,0,2,-0.16453829407691956
0,2,0,3,-0.0772530734539032
0,2,0,4,-0.2115401178598404
0,2,1,0,-0.009464656934142113
0,2,1,1,-0.10692215710878372
0,2,1,2,0.14896179735660553
0,2,1,3,0.2001364678144455
0,2,1,4,-0.21562673151493073
0,2,2,0,0.08668343722820282
0,2,2,1,-0.038432490080595016
0,2,2,2,-0.0981409028172493
0,2,2,3,-0.07326874881982803
0,2,2,4,0.007180670741945505
0,2,3,0,0.17751310765743256
0,2,3,1,0.09789545089006424
0,2,3,2,0.045341577380895615
0,2,3,3,-0.021852634847164154
0,2,3,4,0.11315269023180008
