epoch,kernel,input,filter,weight
0,0,0,0,-0.22083374857902527
0,0,0,1,0.028021514415740967
0,0,0,2,0.01949441060423851
0,0,0,3,-0.05001281201839447
0,0,0,4,-0.20497272908687592
0,0,1,0,-0.045853860676288605
0,0,1,1,0.1243043765425682
0,0,1,2,-0.14652395248413086
0,0,1,3,-0.009163088165223598
0,0,1,4,-0.016572408378124237
0,0,2,0,0.211208775639534
0,0,2,1,0.008862887509167194
0,0,2,2,-0.08503487706184387
0,0,2,3,0.11457223445177078
0,0,2,4,-0.0952228307723999
0,0,3,0,-0.10229798406362534
0,0,3,1,0.010440722107887268
0,0,3,2,0.04948926717042923
0,0,3,3,0.10229359567165375
0,0,3,4,0.011935185641050339
0,1,0,0,-0.059502363204956055
0,1,0,1,-0.05638738349080086
0,1,0,2,0.0690445825457573
0,1,0,3,0.16236457228660583
0,1,0,4,0.03589028865098953
0,1,1,0,0.04485558345913887
0,1,1,1,-0.04666236415505409
0,1,1,2,-0.13556064665317535
0,1,1,3,0.048890620470047
0,1,1,4,0.11803200840950012
0,1,2,0,0.06801928579807281
0,1,2,1,0.06393755227327347
0,1,2,2,0.17836982011795044
0,1,2,3,0.17206215858459473
0,1,2,4,0.17667847871780396
0,1,3,0,-0.007587436120957136
0,1,3,1,0.05976690351963043
0,1,3,2,-0.012028181925415993
0,1,3,3,-0.1902715563774109
0,1,3,4,0.10299935191869736
0,2,0,0,-0.0972718596458435
0,2,0,1,-0.14661458134651184
0,2,0,2,-0.2071758508682251
0,2,0,3,-0.0038877164479345083
0,2,0,4,0.01521320454776287
0,2,1,0,0.08746812492609024
0,2,1,1,0.04066258296370506
0,2,1,2,0.16212308406829834
0,2,1,3,0.14765679836273193
0,2,1,4,-0.13840171694755554
0,2,2,0,0.0658034235239029
0,2,2,1,-0.08403635025024414
0,2,2,2,0.12139337509870529
0,2,2,3,-0.19797609746456146
0,2,2,4,-0.07698819786310196
0,2,3,0,-0.14609575271606445
0,2,3,1,-0.14505508542060852
0,2,3,2,-0.13529039919376373
0,2,3,3,0.14086651802062988
0,2,3,4,0.09434869885444641
0,3,0,0,0.10719360411167145
0,3,0,1,-0.07660055160522461
0,3,0,2,0.17536966502666473
0,3,0,3,-0.10864310711622238
0,3,0,4,0.09153001010417938
0,3,1,0,-0.15194152295589447
0,3,1,1,-0.023581134155392647
0,3,1,2,-0.19044791162014008
0,3,1,3,-0.10009845346212387
0,3,1,4,0.08551788330078125
0,3,2,0,-0.12157952785491943
0,3,2,1,0.06829830259084702
0,3,2,2,0.21925616264343262
0,3,2,3,-0.21828344464302063
0,3,2,4,-0.2169588953256607
0,3,3,0,0.1172066256403923
0,3,3,1,-0.21348954737186432
0,3,3,2,-0.14989925920963287
0,3,3,3,0.04595823213458061
0,3,3,4,0.11619465798139572
0,4,0,0,0.11173295229673386
0,4,0,1,0.045245859771966934
0,4,0,2,0.007907568477094173
0,4,0,3,0.08670884370803833
0,4,0,4,0.1788584142923355
0,4,1,0,-0.1094139888882637
0,4,1,1,-0.2030871957540512
0,4,1,2,0.069511279463768
0,4,1,3,0.06903427094221115
0,4,1,4,0.20965208113193512
0,4,2,0,-0.06027505174279213
0,4,2,1,0.027003325521945953
0,4,2,2,0.19039301574230194
0,4,2,3,0.06831084191799164
0,4,2,4,0.11038073152303696
0,4,3,0,0.207881897687912
0,4,3,1,-0.1583930253982544
0,4,3,2,-0.2020462304353714
0,4,3,3,0.16369768977165222
0,4,3,4,0.015908660367131233
0,5,0,0,0.1974254995584488
0,5,0,1,0.13084539771080017
0,5,0,2,-0.10336273163557053
0,5,0,3,-0.016375672072172165
0,5,0,4,-0.08458447456359863
0,5,1,0,-0.10454197973012924
0,5,1,1,-0.037185948342084885
0,5,1,2,-0.1278204470872879
0,5,1,3,0.050650112330913544
0,5,1,4,0.011430065147578716
0,5,2,0,-0.08644766360521317
0,5,2,1,-0.044820692390203476
0,5,2,2,-0.1480383425951004
0,5,2,3,-0.21485252678394318
0,5,2,4,0.06327737122774124
0,5,3,0,0.040629781782627106
0,5,3,1,0.038511261343955994
0,5,3,2,0.038007862865924835
0,5,3,3,-0.008304319344460964
0,5,3,4,-0.22049182653427124
0,6,0,0,0.22722980380058289
0,6,0,1,0.2280913144350052
0,6,0,2,-0.1032382920384407
0,6,0,3,0.14596453309059143
0,6,0,4,0.04181946441531181
0,6,1,0,-0.10010350495576859
0,6,1,1,-0.2001650035381317
0,6,1,2,-0.17571039497852325
0,6,1,3,0.034165579825639725
0,6,1,4,0.21819764375686646
0,6,2,0,-0.1543692946434021
0,6,2,1,0.0018378194654360414
0,6,2,2,0.14663265645503998
0,6,2,3,0.16229411959648132
0,6,2,4,-0.16517671942710876
0,6,3,0,0.08922495692968369
0,6,3,1,-0.2095879465341568
0,6,3,2,-0.02300695702433586
0,6,3,3,0.23249322175979614
0,6,3,4,-0.19962948560714722
0,7,0,0,-0.04542998597025871
0,7,0,1,-0.020049050450325012
0,7,0,2,-0.047577522695064545
0,7,0,3,0.017654696479439735
0,7,0,4,0.20230472087860107
0,7,1,0,0.07670015096664429
0,7,1,1,-0.004455015528947115
0,7,1,2,0.026963960379362106
0,7,1,3,0.16709282994270325
0,7,1,4,-0.05616164207458496
0,7,2,0,-0.0760069489479065
0,7,2,1,0.09597203880548477
0,7,2,2,-0.18573138117790222
0,7,2,3,-0.0916728600859642
0,7,2,4,-0.17232975363731384
0,7,3,0,-0.09348408132791519
0,7,3,1,0.07210935652256012
