epoch,kernel,input,filter,weight
0,0,0,0,-3.1511245286083387
0,0,0,1,-2.22015105662606
0,0,0,2,-4.248898599100207
0,0,0,3,-2.2635353789806465
0,0,0,4,-2.743665199397893
0,0,1,0,-1.7598374742496539
0,0,1,1,-2.9699045549256007
0,0,1,2,-3.3198960225711303
0,0,1,3,3.096783772905478
0,0,1,4,-1.5501268997456288
0,0,2,0,-1.7889902308147505
0,0,2,1,1.7457459815641583
0,0,2,2,1.6157430429492816
0,0,2,3,-1.6540369384452545
0,0,2,4,1.9273093397718426
0,0,3,0,2.54455326711962
0,0,3,1,-1.7077464197321321
0,0,3,2,3.0267012933608006
0,0,3,3,-2.038668567220908
0,0,3,4,2.218419459922119
0,1,0,0,1.9079223147187292
0,1,0,1,-3.8306220707490053
0,1,0,2,3.5944503941594315
0,1,0,3,1.7102288899384999
0,1,0,4,-3.191201496206245
0,1,1,0,1.5014740760763898
0,1,1,1,1.5627392498667834
0,1,1,2,3.67096391401747
0,1,1,3,2.503312474079979
0,1,1,4,1.5439772242664749
0,1,2,0,2.488060053088416
0,1,2,1,-3.826258925998455
0,1,2,2,-2.6509587677414435
0,1,2,3,2.301234157673553
0,1,2,4,1.680026609610149
0,1,3,0,2.8573235409859965
0,1,3,1,2.0694739881833635
0,1,3,2,2.390147021636493
0,1,3,3,-1.6395098888365398
0,1,3,4,-2.2598788407909702
0,2,0,0,-5.249993606779258
0,2,0,1,-1.7793190944864152
0,2,0,2,-2.761691666393067
0,2,0,3,-2.319948248890331
0,2,0,4,-3.0404571222871732
0,2,1,0,-2.8135253604479646
0,2,1,1,3.4900704792572235
0,2,1,2,-1.6220014269145802
0,2,1,3,-3.617713277091861
0,2,1,4,-1.7161103852115993
0,2,2,0,-1.77991716343321
0,2,2,1,-1.8447911342328838
0,2,2,2,-2.189630239654442
0,2,2,3,3.0465425858132003
0,2,2,4,1.867509438664022
0,2,3,0,1.4788336381975138
0,2,3,1,2.3561141107980244
0,2,3,2,2.0987594313052877
0,2,3,3,-2.3546464183003364
0,2,3,4,-1.7493316232829095
0,3,0,0,2.20771256664332
0,3,0,1,-2.3380186323512637
0,3,0,2,-1.65386244892209
0,3,0,3,4.2800652789043925
0,3,0,4,-4.5009107960187436
0,3,1,0,1.8865388794235498
0,3,1,1,-1.954990759604201
0,3,1,2,-2.07284188739768
0,3,1,3,-1.7968638136067792
0,3,1,4,-5.439976109733773
0,3,2,0,-2.8589812477540644
0,3,2,1,-2.840184432573546
0,3,2,2,1.5482669424358502
0,3,2,3,-1.9968612113585194
0,3,2,4,1.7146560923963012
0,3,3,0,2.186281637968359
0,3,3,1,-2.127807467404736
0,3,3,2,1.4553530084955382
0,3,3,3,1.7828385362545724
0,3,3,4,-1.7613704805663386
0,4,0,0,1.4961714637634829
0,4,0,1,2.092454750492347
0,4,0,2,1.831992970296882
0,4,0,3,-3.166764334265557
0,4,0,4,-3.0968335608246154
0,4,1,0,-1.6812699651176617
0,4,1,1,2.733382144657165
0,4,1,2,2.302447102861306
0,4,1,3,1.780593656988173
0,4,1,4,-2.1148026919304295
0,4,2,0,1.5514180792772139
0,4,2,1,-3.763364671022683
0,4,2,2,-3.487481716298384
0,4,2,3,-1.8331426722670465
0,4,2,4,3.8296278890237985
0,4,3,0,-3.718364309841994
0,4,3,1,1.5614201707511761
0,4,3,2,4.7748821081968735
0,4,3,3,-1.4616548423858877
0,4,3,4,2.9907734719771
0,5,0,0,3.282132634738854
0,5,0,1,1.7256836078622448
0,5,0,2,-1.4954814823489806
0,5,0,3,-2.3931789739486726
0,5,0,4,2.0145902046938184
0,5,1,0,2.0993385287725337
0,5,1,1,3.0162901130498803
0,5,1,2,1.5918003595509844
0,5,1,3,5.79412290148009
0,5,1,4,2.3324976860469477
0,5,2,0,-1.5603685281361988
0,5,2,1,3.2751121619878543
0,5,2,2,1.75938510208242
0,5,2,3,3.320741758666237
0,5,2,4,4.3123288093047645
0,5,3,0,-1.531354783018516
0,5,3,1,2.0631424535011536
0,5,3,2,-3.7360373108436042
0,5,3,3,-2.876987244694079
0,5,3,4,4.063733393811372
0,6,0,0,1.5201181657902212
0,6,0,1,2.331874522995514
0,6,0,2,1.804188016764481
0,6,0,3,2.1577334312092065
0,6,0,4,2.278685618040926
0,6,1,0,-1.688849609773659
