epoch,kernel,input,filter,weight
0,2,4,4,1.6037910572893601
0,3,0,0,3.344538297509448
0,3,0,1,-5.555623888891481
0,3,0,2,-2.6298535841941586
0,3,0,3,-3.3825047949925335
0,3,0,4,-1.7311007962084244
0,3,1,0,2.518306906142006
0,3,1,1,2.9857080687181727
0,3,1,2,2.895822544986072
0,3,1,3,2.5156670609352743
0,3,1,4,1.5571768723390764
0,3,2,0,-2.2080861416643343
0,3,2,1,-3.49994632411197
0,3,2,2,-1.6219755486658547
0,3,2,3,-1.502200867191272
0,3,2,4,-3.4378039795987902
0,3,3,0,2.035175700686896
0,3,3,1,2.862637761047251
0,3,3,2,-1.751063691931892
0,3,3,3,1.6382273277560597
0,3,3,4,3.4632252907365637
0,3,4,0,6.13228118994863
0,3,4,1,-2.4636425752635467
0,3,4,2,2.016186446329514
0,3,4,3,2.864044459658002
0,3,4,4,3.324840891148374
0,4,0,0,1.8229362495838008
0,4,0,1,2.2051288819326804
0,4,0,2,1.6421380765061269
0,4,0,3,3.3887476690698266
0,4,0,4,-1.789883475079294
0,4,1,0,-3.136394088310155
0,4,1,1,3.3607704532302307
0,4,1,2,1.9047001129963679
0,4,1,3,2.9622413008593678
0,4,1,4,2.386571999865089
0,4,2,0,-3.0036458301505746
0,4,2,1,2.376882100804897
0,4,2,2,4.40462661262252
0,4,2,3,-2.42012447219749
0,4,2,4,1.6881401015723951
0,4,3,0,-4.834386152048891
0,4,3,1,1.5523198790727408
0,4,3,2,1.7269234105821822
0,4,3,3,-3.33694291839454
0,4,3,4,3.2703750439178845
0,4,4,0,3.5703508701504396
0,4,4,1,4.064446200209235
0,4,4,2,-3.9743635985817494
0,4,4,3,-2.083140524605734
0,4,4,4,-3.028275251857519
0,5,0,0,-1.600790624059322
0,5,0,1,-3.0117658349473393
0,5,0,2,-3.197381230097053
0,5,0,3,1.774205225087113
0,5,0,4,2.4649961158576636
0,5,1,0,1.586073411102338
0,5,1,1,2.452261822890732
0,5,1,2,1.7731456862793769
0,5,1,3,1.7267602767840797
0,5,1,4,1.855933467121136
0,5,2,0,-3.663842801644013
0,5,2,1,2.511600841336557
0,5,2,2,-2.078664003426746
0,5,2,3,-2.7047878749929963
0,5,2,4,-1.6786559988210912
0,5,3,0,1.8320774882074224
0,5,3,1,1.541839838040269
0,5,3,2,-2.076953285017362
0,5,3,3,-2.228751740113327
0,5,3,4,-1.7407482816893705
0,5,4,0,-1.8317020524592962
0,5,4,1,-1.5898703899857383
0,5,4,2,-3.805963910351955
0,5,4,3,2.7575627196143793
0,5,4,4,4.206528034042983
0,6,0,0,-1.769439252651833
0,6,0,1,1.9560876399351197
0,6,0,2,1.76672550531449
0,6,0,3,-4.029789462748803
0,6,0,4,-2.2633293277658737
0,6,1,0,1.5969425420243677
0,6,1,1,-2.199979906438863
0,6,1,2,1.8200902322570534
0,6,1,3,-4.009426112964834
0,6,1,4,-3.6559469671756704
0,6,2,0,2.3808514571865205
0,6,2,1,-3.293267454488631
0,6,2,2,-2.2070856917646666
0,6,2,3,1.9663814283896806
0,6,2,4,-2.7399992218501237
0,6,3,0,1.6320437584780845
0,6,3,1,-1.9858649529793642
0,6,3,2,-2.304684693656385
0,6,3,3,1.5120305006305086
0,6,3,4,2.7224865728702543
0,6,4,0,1.5653579005612834
0,6,4,1,2.5486202968417757
0,6,4,2,-2.5415880877976047
0,6,4,3,4.19021840316523
0,6,4,4,1.5598166401575755
0,7,0,0,2.281268533493405
0,7,0,1,1.783263170902108
0,7,0,2,1.5787008756342844
0,7,0,3,-2.0022780462682355
0,7,0,4,2.826292206098407
0,7,1,0,-2.92485985817966
0,7,1,1,1.6806618950538659
0,7,1,2,-2.0999519706494527
0,7,1,3,-4.948453935788347
0,7,1,4,-2.673893726779333
0,7,2,0,1.5176023514816557
0,7,2,1,-3.332850758792426
0,7,2,2,2.144620882926235
0,7,2,3,-2.16671315389518
0,7,2,4,2.603769816726507
0,7,3,0,1.6492758194531942
0,7,3,1,-1.652108340618659
0,7,3,2,-2.0938640504845414
0,7,3,3,1.7914690877611665
0,7,3,4,-1.7835108025654176
0,7,4,0,-3.684502947811307
0,7,4,1,2.16002065618284
0,7,4,2,-2.820610573782121
0,7,4,3,-1.674316635273227
0,7,4,4,1.8202406245812388
0,8,0,0,-2.1970076027170298
0,8,0,1,2.790047707525862
0,8,0,2,2.6312533362237702
0,8,0,3,2.4595672830360873
0,8,0,4,-2.689763985244079
0,8,1,0,-2.6150180606595543
0,8,1,1,-1.585783986273759
0,8,1,2,-2.1418378633199024
0,8,1,3,2.338375096604905
0,8,1,4,2.406157621642159
0,8,2,0,2.1644108475682553
0,8,2,1,-2.7166132261639486
0,8,2,2,-1.5320296346009115
0,8,2,3,-2.251161492716746
0,8,2,4,-3.606271985887153
0,8,3,0,-2.093829522412384
0,8,3,1,-1.5172016226894616
0,8,3,2,1.934061393408093
0,8,3,3,-1.7116505108939881
0,8,3,4,1.870250233757343
0,8,4,0,-1.8252442226139907
0,8,4,1,-4.036947799188673
0,8,4,2,-2.187063124333017
0,8,4,3,-1.9554684365849953
0,8,4,4,1.624105765124674
0,9,0,0,1.6069659469901194
0,9,0,1,-1.5536745634535862
0,9,0,2,1.8824366863494062
0,9,0,3,-1.685584355840538
0,9,0,4,-1.5853044401224023
0,9,1,0,-2.8135712499202294
0,9,1,1,-4.209863859828833
0,9,1,2,-2.069416392682217
0,9,1,3,2.604143552859957
0,9,1,4,-1.8437341010862092
0,9,2,0,2.8283539543669174
0,9,2,1,-1.6558310378311734
0,9,2,2,1.542053294585384
0,9,2,3,-2.517918071468693
0,9,2,4,-2.178074538396192
0,9,3,0,2.4719156895620027
0,9,3,1,-4.812040524807537
0,9,3,2,-2.2015094462292573
0,9,3,3,-2.266392729513159
0,9,3,4,-1.679412822480848
0,9,4,0,3.6143745044250553
0,9,4,1,-2.8259896730024154
0,9,4,2,6.733678927893792
0,9,4,3,-2.2339043502001235
0,9,4,4,-2.6413463368647006
0,10,0,0,-3.3148022308563827
0,10,0,1,-1.910565646379196
0,10,0,2,-2.0590334864519755
0,10,0,3,1.6379232533405896
0,10,0,4,-3.23565133579559
0,10,1,0,2.857063878523033
0,10,1,1,2.2918073176214735
0,10,1,2,2.626488925748496
0,10,1,3,-2.102297964659544
0,10,1,4,2.33452042125205
0,10,2,0,3.4282552463612594
0,10,2,1,-2.319334824796876
0,10,2,2,1.8085775124283263
0,10,2,3,2.7175961749697297
0,10,2,4,2.0227639350010262
0,10,3,0,3.0165555744271146
0,10,3,1,-2.441504777930866
0,10,3,2,-2.88585593558979
0,10,3,3,-1.6380068147557485
0,10,3,4,1.7072469177854985
0,10,4,0,-3.4157049609925645
0,10,4,1,-2.9033505325492808
0,10,4,2,1.5020791967401563
0,10,4,3,3.2264093088860197
0,10,4,4,-1.7802324617302772
0,11,0,0,2.1759462143137083
0,11,0,1,3.6751084945879606
0,11,0,2,1.7036051783493178
0,11,0,3,2.2216410100855817
0,11,0,4,-2.1786846675457388
0,11,1,0,-2.321135922936421
0,11,1,1,-1.8502360597107774
0,11,1,2,-1.6778322514504826
0,11,1,3,-2.4716137334008845
0,11,1,4,3.3013026545410327
0,11,2,0,2.2365065814397895
0,11,2,1,-3.1416988522443012
0,11,2,2,3.6913176314209335
0,11,2,3,-1.9291924516381325
0,11,2,4,3.208620640451605
0,11,3,0,2.1270654881334194
0,11,3,1,-1.614314850605018
0,11,3,2,-2.9865870421285714
0,11,3,3,-1.6539159609987542
0,11,3,4,4.067131861036501
0,11,4,0,2.2642712337019746
0,11,4,1,-1.7028920804777223
0,11,4,2,2.0531964829945633
0,11,4,3,-3.4336824029861406
0,11,4,4,-2.0323328921311674
1,0,0,0,3.4294938151800163
1,0,0,1,3.2639791721015134
1,0,0,2,4.132430537377898
1,0,0,3,1.923828348309563
1,0,0,4,-1.5170318523582835
1,0,1,0,2.5335706165359313
1,0,1,1,3.735325182414281
1,0,1,2,-2.281067911067308
1,0,1,3,1.6515028995514403
1,0,1,4,-3.2437576572658364
1,0,2,0,-1.6682654020217464
1,0,2,1,2.1578420500918583
1,0,2,2,3.137323545355147
1,0,2,3,-2.8336161364980454
1,0,2,4,-3.178181660678615
1,0,3,0,2.11237398871991
1,0,3,1,2.122935177120103
1,0,3,2,2.3334468369630663
1,0,3,3,-1.8397696889912485
1,0,3,4,-5.72195047233081
1,0,4,0,-3.2159775843755134
1,0,4,1,1.6088134358817698
1,0,4,2,-2.345116740267995
1,0,4,3,1.8207257134451906
1,0,4,4,-3.076288679184753
1,1,0,0,3.06153011951453
1,1,0,1,-2.03657044713304
1,1,0,2,2.3692102037105496
1,1,0,3,-3.0477468214509695
1,1,0,4,1.84606543062976
1,1,1,0,-2.751587843498385
1,1,1,1,2.812895167676398
1,1,1,2,1.5098248834763222
1,1,1,3,-2.008445656786893
1,1,1,4,-2.084856835605974
1,1,2,0,1.7025421824091589
1,1,2,1,-2.4730105375946607
1,1,2,2,-2.190821890860102
1,1,2,3,-5.316268702581276
1,1,2,4,1.7735813248951182
1,1,3,0,-1.5807708274105734
1,1,3,1,1.9718733840341713
1,1,3,2,1.6292889339123533
1,1,3,3,-2.695008165758769
1,1,3,4,2.041542669080431
1,1,4,0,-1.8942567666368235
1,1,4,1,-2.810351310512725
1,1,4,2,-3.142984798811538
1,1,4,3,-3.1319147473922997
1,1,4,4,2.14566458884692
1,2,0,0,-1.950427550999383
1,2,0,1,2.4732295804225624
1,2,0,2,-2.758273432328179
1,2,0,3,1.967454323803709
1,2,0,4,-4.705538711839266
1,2,1,0,2.4758162146635474
1,2,1,1,4.407762486965636
1,2,1,2,-2.7594166832604454
1,2,1,3,2.143265316884994
1,2,1,4,-2.0918773312504766
1,2,2,0,-1.58495060222097
1,2,2,1,1.6967519154802768
1,2,2,2,-4.313110387893394
1,2,2,3,1.5314195600384632
1,2,2,4,1.5465049515715417
1,2,3,0,-1.6934197142009755
1,2,3,1,-2.177539599875058
1,2,3,2,-2.3080685876477762
1,2,3,3,-3.08995078687697
1,2,3,4,-1.7587181291326592
1,2,4,0,-2.3632035997651535
1,2,4,1,-2.466622540817918
1,2,4,2,1.9057959741025499
1,2,4,3,-3.2272419853730567
1,2,4,4,1.6047441866947334
1,3,0,0,3.3473777550116157
1,3,0,1,-5.465753092304341
1,3,0,2,-2.6386155332864276
1,3,0,3,-3.3872028267366696
1,3,0,4,-1.7306524046017682
1,3,1,0,2.5179997631896898
1,3,1,1,2.978561280454125
1,3,1,2,2.9212244884524785
